LANGUAGE, English,,,
STRM_briefing_name,TCT Life!,,,
STRM_mission_description,Life RPG created by the Arma 2 Community,,,
STRS_hints_vehicle_information,VEHICLE INFORMATION:\n\nName: %4\nType: %1\ndirection: %2°\nHeight ASL: %3m\nDriver: %5\nFree Cargo: %6\nlength: %7m,,,
STRS_functions_crimelog_msg12,Speeding,,,
STRS_anfang_laden,Loading.....\nPlease Wait,,,
STRS_anfang_02,"TCTGAMES PRESENTS.",,,
STRS_anfang_03,"Chernarus Life!",,,
STRS_anfang_04,Do not kill unarmed civilians! \n\n Police Must Be On TCT Gaming Teampseak Or Will Be Kicked,,,
STRS_anfang_05_civ,Do not teamkill! \n\n  Police Must Be On TCT Gaming Teampseak Or Will Be Kicked,,,
STRS_anfang_05_cop,Racial slurs are prohibited here. \n\n Foul language and heated arguments are OK. \n\n Racist harassment of other players is NOT.,,,
STRS_anfang_cop_loadout,Loading your variable information....,,,
STRS_anfang_06,"Game guide, rules, Teamspeak Info, and changelog on the map tabs.\n\nPlease be helpful to new players and don't grief.\n\nThis is a roleplaying server.",,,
STRS_check_civ_in_terrorbase,You entered the Terror-Camp.,,,
STRS_southChernarus_area,You do not have jurisdiction in this area. Turn around!,,,
STRS_prohibited_area,Turn around,,,
STRS_verbotene_zone_teleport,You entered a prohibited area and have been teleported back to your respawn area.,,,
STRS_hunger_verhungern,You are starving.,,,
STRS_arbeiter_in_copbase,One of your Workers was too close to the Policebase,,,
STRS_arbeiter_in_terrorbase,One of your Workers was too close to the Terror-base,,,
STRS_dead_player_is_dead_civ,You are dead,,,
STRS_dead_player_is_dead_cop,You are dead,,,
STRS_slave_zuviele,You cannot buy any more slaves!!,,,
STRS_slave_nomoney,You cannot afford a slave...Maybe you should be a slave!.,,,
STRS_slave_gekauft," ""%1"," you have bought a slave for $%2. Take him to a workplace and he will earn you money."" ",,
STRS_slave_moneyaction,Take the profit this slave has made you.,,,
STRS_slave_tot,One of your slaves has died! Protect them in future!,,,
STRS_slave_geldabnahme_ja,This slave has earned you $%1.,,,
STRS_slave_geldabnahme_nein,This slave has no money!! Useless!.,,,
STRS_arbeiter_gekauft,"%1, a new worker is on your team. You paid $%2. Bring him to a workplace in order to let him earn some money.",,,
STRS_arbeiter_moneyaction,Take money from your worker.,,,
STRS_arbeiter_tot,A worker in your team died.,,,
STRS_arbeiter_geldabnahme_ja,You got $%1 from the worker.,,,
STRS_arbeiter_geldabnahme_nein,O trabalhador atualmente nao tem nenhum dinheiro.,,,
STRS_arbeiter_meister,Esse trabalhador trabalha para %1.,,,
STRS_arbeiter_copaction,Para quem você trabalha?,,,
STRS_arbeiter_zuviele,Voce nao pode comprar outro trabalhador porque voce ja atingiu o limite.,,,
STRS_arbeiter_nomoney,Voce nao pode pagar por um trabalhador. Volte mais tarde.,,,
STRS_inventar_beschreibung_bankversicherung,Seguros Bancarios, voce para de perder todo o dinheiro quando alguem rouba a banco. Cada vez que o banco e roubado um unico seguro Banco sera utilizado. Se possuir 2 Seguros de Banco ira significar que voce nao perca todo o dinheiro das proximas 2 vezes que o Banco e roubado.,,
STRS_dead_menuentry_hints,Estatisticas,,,
STRS_dead_menuentry_inventar,inventario,,,
STRS_dead_menuentry_animation,Animacoes,,,
STRS_addAction_copstorage1,armazenagem privada,,,
STRS_addAction_copstorage2,armazenagem publica,,,
STRS_addaction_freecam,Camera via Satelite,,,
STRS_addaction_defuse,Desarmar Bomba,,,
STRS_addaction_bank_license,Comprar um seguro de banco $%1,,,
STRS_addaction_civcammenu,Abrir Civcam,,,
STRS_addAction_copmenu,Menu de Cop aberto,,,
STRS_addAction_copmenulite,On-foot Cop Menu,,,
STRS_addaction_jailcam,Camera Cadeia,,,
STRS_addaction_buy_drugs,Menu de Drogas Buy-aberto,,,
STRS_addaction_sell_drugs,Vender Drogas,,,
STRS_addaction_weather,Previsao do tempo,,,
STRS_addaction_shootingrange,Campo de Tiro $%1,,,
STRS_addaction_prisonrelease,Procurado/Prisao Menu,,,
STRS_addaction_bail,pagar fianca,,,
STRS_addaction_buy_worker,Contrate Trabalhador $%1,,,
STRS_addaction_buy_slave,Comprar um escravo por $%1,,,
STRS_addaction_buy_hideout,Esconder menu de compras,,,
STRS_addaction_race_join,Junte-se a Street Race $%1,,,
STRS_addaction_buy_shop,Comprar %1 por $%2,,,
STRS_addaction_buy_rank,Subornar Chefe da Policia para obter um reducao na %1 por $%2,,,
STRS_addaction_switch_copmarker,Switch Cop-marker on/off,,,
STRS_addaction_radio_on,Switch Radio On/Off,,,
STRS_addaction_vehicleinfo,informacoes sobre o veiculo,,,
STRS_addaction_courierjob,Obter um emprego de correio!,,,
STRS_addaction_hideout_addon1,Hideout: Medico Add-on $%1,,,
STRS_addaction_hideout_addon2,Hideout: Teletransporte Add-on $%1,,,
